CNIC,Name,Age,Sector,Street,HouseNo,Occupation
61101-0000001-1,Fatima Khan,21,F-8,2,101,Doctor
61101-0000002-2,Ali Khan,22,G-9,3,102,Teacher
61101-0000003-3,Sara Khan,23,F-6,4,103,Lawyer
61101-0000004-4,Hassan Khan,24,Blue Area,5,104,Nurse
61101-0000005-5,Ayesha Khan,25,G-10,6,105,Accountant
61101-0000006-6,Usman Khan,26,F-8,7,106,Designer
61101-0000007-7,Zainab Khan,27,G-9,8,107,Developer
61101-0000008-8,Bilal Khan,28,F-6,9,108,Artist
61101-0000009-9,Hira Khan,29,Blue Area,10,109,Manager
61101-0000010-0,Faisal Ali,30,G-10,12,110,Pharmacist
61101-0000011-1,Maryam Ali,31,F-8,15,111,Student
61101-0000012-2,Kamran Ali,32,G-9,17,112,Marketing
61101-0000013-3,Sana Ali,33,F-6,18,113,Director
61101-0000014-4,Tariq Ali,34,Blue Area,20,114,Architect
61101-0000015-5,Rabia Ali,35,G-10,22,115,Banker
61101-0000016-6,Imran Ali,36,F-8,23,116,Consultant
61101-0000017-7,Amna Ali,37,G-9,25,117,Scientist
61101-0000018-8,Waqas Ali,38,F-6,1,118,CEO
61101-0000019-9,Noor Ali,39,Blue Area,2,119,Investor
61101-0000020-0,Adnan Shah,40,G-10,3,120,Pilot
61101-0000021-1,Saira Shah,41,F-8,4,121,Journalist
61101-0000022-2,Junaid Shah,42,G-9,5,122,Professor
61101-0000023-3,Lubna Shah,43,F-6,6,123,Dentist
61101-0000024-4,Asad Shah,44,Blue Area,7,124,Contractor
61101-0000025-5,Neha Shah,45,G-10,8,125,Psychologist
61101-0000026-6,Omer Shah,46,F-8,9,126,Athlete
61101-0000027-7,Iram Shah,47,G-9,10,127,Economist
61101-0000028-8,Talha Shah,48,F-6,12,128,Planner
61101-0000029-9,Uzma Shah,49,Blue Area,15,129,Researcher
61101-0000030-0,Ahmed Malik,50,G-10,17,130,Entrepreneur
61101-0000031-1,Fatima Malik,51,F-8,18,131,Veterinarian
61101-0000032-2,Ali Malik,52,G-9,20,132,Chef
61101-0000033-3,Sara Malik,53,F-6,22,133,Analyst
61101-0000034-4,Hassan Malik,54,Blue Area,23,134,Broker
61101-0000035-5,Ayesha Malik,55,G-10,25,135,Trader
61101-0000036-6,Usman Malik,56,F-8,1,136,Minister
61101-0000037-7,Zainab Malik,57,G-9,2,137,Administrator
61101-0000038-8,Bilal Malik,58,F-6,3,138,Engineer
61101-0000039-9,Hira Malik,59,Blue Area,4,139,Doctor
61101-0000040-0,Faisal Ahmed,60,G-10,5,140,Teacher
61101-0000041-1,Maryam Ahmed,61,F-8,6,141,Lawyer
61101-0000042-2,Kamran Ahmed,62,G-9,7,142,Nurse
61101-0000043-3,Sana Ahmed,63,F-6,8,143,Accountant
61101-0000044-4,Tariq Ahmed,64,Blue Area,9,144,Designer
61101-0000045-5,Rabia Ahmed,65,G-10,10,145,Developer
61101-0000046-6,Imran Ahmed,66,F-8,12,146,Artist
61101-0000047-7,Amna Ahmed,67,G-9,15,147,Manager
61101-0000048-8,Waqas Ahmed,68,F-6,17,148,Pharmacist
61101-0000049-9,Noor Ahmed,69,Blue Area,18,149,Student
61101-0000050-0,Adnan Hassan,20,G-10,20,150,Marketing
61101-0000051-1,Saira Hassan,21,F-8,22,151,Director
61101-0000052-2,Junaid Hassan,22,G-9,23,152,Architect
61101-0000053-3,Lubna Hassan,23,F-6,25,153,Banker
61101-0000054-4,Asad Hassan,24,Blue Area,1,154,Consultant
61101-0000055-5,Neha Hassan,25,G-10,2,155,Scientist
61101-0000056-6,Omer Hassan,26,F-8,3,156,CEO
61101-0000057-7,Iram Hassan,27,G-9,4,157,Investor
61101-0000058-8,Talha Hassan,28,F-6,5,158,Pilot
61101-0000059-9,Uzma Hassan,29,Blue Area,6,159,Journalist
61101-0000060-0,Ahmed Raza,30,G-10,7,160,Professor
61101-0000061-1,Fatima Raza,31,F-8,8,161,Dentist
61101-0000062-2,Ali Raza,32,G-9,9,162,Contractor
61101-0000063-3,Sara Raza,33,F-6,10,163,Psychologist
61101-0000064-4,Hassan Raza,34,Blue Area,12,164,Athlete
61101-0000065-5,Ayesha Raza,35,G-10,15,165,Economist
61101-0000066-6,Usman Raza,36,F-8,17,166,Planner
61101-0000067-7,Zainab Raza,37,G-9,18,167,Researcher
61101-0000068-8,Bilal Raza,38,F-6,20,168,Entrepreneur
61101-0000069-9,Hira Raza,39,Blue Area,22,169,Veterinarian
61101-0000070-0,Faisal Siddiqui,40,G-10,23,170,Chef
61101-0000071-1,Maryam Siddiqui,41,F-8,25,171,Analyst
61101-0000072-2,Kamran Siddiqui,42,G-9,1,172,Broker
61101-0000073-3,Sana Siddiqui,43,F-6,2,173,Trader
61101-0000074-4,Tariq Siddiqui,44,Blue Area,3,174,Minister
61101-0000075-5,Rabia Siddiqui,45,G-10,4,175,Administrator
61101-0000076-6,Imran Siddiqui,46,F-8,5,176,Engineer
61101-0000077-7,Amna Siddiqui,47,G-9,6,177,Doctor
61101-0000078-8,Waqas Siddiqui,48,F-6,7,178,Teacher
61101-0000079-9,Noor Siddiqui,49,Blue Area,8,179,Lawyer
61101-0000080-0,Adnan Hussain,50,G-10,9,180,Nurse
61101-0000081-1,Saira Hussain,51,F-8,10,181,Accountant
61101-0000082-2,Junaid Hussain,52,G-9,12,182,Designer
61101-0000083-3,Lubna Hussain,53,F-6,15,183,Developer
61101-0000084-4,Asad Hussain,54,Blue Area,17,184,Artist
61101-0000085-5,Neha Hussain,55,G-10,18,185,Manager
61101-0000086-6,Omer Hussain,56,F-8,20,186,Pharmacist
61101-0000087-7,Iram Hussain,57,G-9,22,187,Student
61101-0000088-8,Talha Hussain,58,F-6,23,188,Marketing
61101-0000089-9,Uzma Hussain,59,Blue Area,25,189,Director
61101-0000090-0,Ahmed Farooq,60,G-10,1,190,Architect
61101-0000091-1,Fatima Farooq,61,F-8,2,191,Banker
61101-0000092-2,Ali Farooq,62,G-9,3,192,Consultant
61101-0000093-3,Sara Farooq,63,F-6,4,193,Scientist
61101-0000094-4,Hassan Farooq,64,Blue Area,5,194,CEO
61101-0000095-5,Ayesha Farooq,65,G-10,6,195,Investor
61101-0000096-6,Usman Farooq,66,F-8,7,196,Pilot
61101-0000097-7,Zainab Farooq,67,G-9,8,197,Journalist
61101-0000098-8,Bilal Farooq,68,F-6,9,198,Professor
61101-0000099-9,Hira Farooq,69,Blue Area,10,199,Dentist
61101-0000100-0,Faisal Tariq,20,G-10,12,200,Contractor
61101-0000101-1,Maryam Tariq,21,F-8,15,201,Psychologist
61101-0000102-2,Kamran Tariq,22,G-9,17,202,Athlete
61101-0000103-3,Sana Tariq,23,F-6,18,203,Economist
61101-0000104-4,Tariq Tariq,24,Blue Area,20,204,Planner
61101-0000105-5,Rabia Tariq,25,G-10,22,205,Researcher
61101-0000106-6,Imran Tariq,26,F-8,23,206,Entrepreneur
61101-0000107-7,Amna Tariq,27,G-9,25,207,Veterinarian
61101-0000108-8,Waqas Tariq,28,F-6,1,208,Chef
61101-0000109-9,Noor Tariq,29,Blue Area,2,209,Analyst
61101-0000110-0,Adnan Sheikh,30,G-10,3,210,Broker
61101-0000111-1,Saira Sheikh,31,F-8,4,211,Trader
61101-0000112-2,Junaid Sheikh,32,G-9,5,212,Minister
61101-0000113-3,Lubna Sheikh,33,F-6,6,213,Administrator
61101-0000114-4,Asad Sheikh,34,Blue Area,7,214,Engineer
61101-0000115-5,Neha Sheikh,35,G-10,8,215,Doctor
61101-0000116-6,Omer Sheikh,36,F-8,9,216,Teacher
61101-0000117-7,Iram Sheikh,37,G-9,10,217,Lawyer
61101-0000118-8,Talha Sheikh,38,F-6,12,218,Nurse
61101-0000119-9,Uzma Sheikh,39,Blue Area,15,219,Accountant
61101-0000120-0,Ahmed Nawaz,40,G-10,17,220,Designer
61101-0000121-1,Fatima Nawaz,41,F-8,18,221,Developer
61101-0000122-2,Ali Nawaz,42,G-9,20,222,Artist
61101-0000123-3,Sara Nawaz,43,F-6,22,223,Manager
61101-0000124-4,Hassan Nawaz,44,Blue Area,23,224,Pharmacist
61101-0000125-5,Ayesha Nawaz,45,G-10,25,225,Student
61101-0000126-6,Usman Nawaz,46,F-8,1,226,Marketing
61101-0000127-7,Zainab Nawaz,47,G-9,2,227,Director
61101-0000128-8,Bilal Nawaz,48,F-6,3,228,Architect
